balls_per_over,team1,team2,gender,season,date,event,match_number,toss_winner,toss_decision,player_of_match,winner,win_by,match_id,winner_type,outcome,eliminator,method,date1,date2,venueID
6,Kolkata Knight Riders,Chennai Super Kings,male,2015,2015/04/30,Indian Premier League,30.0,Kolkata Knight Riders,field,AD Russell,Kolkata Knight Riders,7.0,829723,wickets,,,,,,V023
6,Chennai Super Kings,Mumbai Indians,male,2015,2015/05/08,Indian Premier League,43.0,Chennai Super Kings,bat,HH Pandya,Mumbai Indians,6.0,829789,wickets,,,,,,V028
6,Royal Challengers Bangalore,Sunrisers Hyderabad,male,2015,2015/04/13,Indian Premier League,8.0,Sunrisers Hyderabad,field,DA Warner,Sunrisers Hyderabad,8.0,829719,wickets,,,,,,V029
6,Rajasthan Royals,Delhi Daredevils,male,2015,2015/05/03,Indian Premier League,36.0,Delhi Daredevils,field,AM Rahane,Rajasthan Royals,14.0,829777,runs,,,,,,V016
6,Kolkata Knight Riders,Kings XI Punjab,male,2015,2015/05/09,Indian Premier League,44.0,Kings XI Punjab,bat,AD Russell,Kolkata Knight Riders,1.0,829791,wickets,,,,,,V023
6,Chennai Super Kings,Sunrisers Hyderabad,male,2015,2015/04/11,Indian Premier League,4.0,Chennai Super Kings,bat,BB McCullum,Chennai Super Kings,45.0,829711,runs,,,,,,V028
6,Delhi Daredevils,Kings XI Punjab,male,2016,2016/04/15,Indian Premier League,7.0,Delhi Daredevils,field,A Mishra,Delhi Daredevils,8.0,980913,wickets,,,,,,V031
6,Chennai Super Kings,Kings XI Punjab,male,2015,2015/04/25,Indian Premier League,24.0,Chennai Super Kings,bat,BB McCullum,Chennai Super Kings,97.0,829753,runs,,,,,,V028
6,Kings XI Punjab,Delhi Daredevils,male,2014,2014/05/25,Indian Premier League,55.0,Kings XI Punjab,field,M Vohra,Kings XI Punjab,7.0,734039,wickets,,,,,,V030
6,Mumbai Indians,Rajasthan Royals,male,2015,2015/05/01,Indian Premier League,32.0,Rajasthan Royals,field,AT Rayudu,Mumbai Indians,8.0,829769,runs,,,,,,V019
6,Kings XI Punjab,Kolkata Knight Riders,male,2015,2015/04/18,Indian Premier League,14.0,Kolkata Knight Riders,field,AD Russell,Kolkata Knight Riders,4.0,829733,wickets,,,,,,V020
6,Chennai Super Kings,Kings XI Punjab,male,2014,2014/05/30,Indian Premier League,,Chennai Super Kings,field,V Sehwag,Kings XI Punjab,24.0,734047,runs,,,,,,V019
6,Chennai Super Kings,Royal Challengers Bangalore,male,2015,2015/05/04,Indian Premier League,37.0,Chennai Super Kings,bat,SK Raina,Chennai Super Kings,24.0,829779,runs,,,,,,V028
6,Delhi Daredevils,Royal Challengers Bangalore,male,2015,2015/04/26,Indian Premier League,26.0,Royal Challengers Bangalore,field,VR Aaron,Royal Challengers Bangalore,10.0,829757,wickets,,,,,,V031
6,Mumbai Indians,Chennai Super Kings,male,2015,2015/04/17,Indian Premier League,12.0,Mumbai Indians,bat,A Nehra,Chennai Super Kings,6.0,829729,wickets,,,,,,V019
6,Rajasthan Royals,Mumbai Indians,male,2015,2015/04/14,Indian Premier League,9.0,Mumbai Indians,bat,SPD Smith,Rajasthan Royals,7.0,829721,wickets,,,,,,V021
6,Kolkata Knight Riders,Sunrisers Hyderabad,male,2015,2015/05/04,Indian Premier League,38.0,Sunrisers Hyderabad,field,UT Yadav,Kolkata Knight Riders,35.0,829781,runs,,,,,,V023
6,Sunrisers Hyderabad,Kings XI Punjab,male,2014,2014/05/14,Indian Premier League,39.0,Kings XI Punjab,field,WP Saha,Kings XI Punjab,6.0,734007,wickets,,,,,,V027
6,Chennai Super Kings,Sunrisers Hyderabad,male,2014,2014/05/22,Indian Premier League,50.0,Sunrisers Hyderabad,field,DA Warner,Sunrisers Hyderabad,6.0,734029,wickets,,,,,,V001
6,Mumbai Indians,Delhi Daredevils,male,2015,2015/05/05,Indian Premier League,39.0,Delhi Daredevils,bat,Harbhajan Singh,Mumbai Indians,5.0,829783,wickets,,,,,,V019
6,Chennai Super Kings,Kolkata Knight Riders,male,2015,2015/04/28,Indian Premier League,28.0,Kolkata Knight Riders,field,DJ Bravo,Chennai Super Kings,2.0,829765,runs,,,,,,V028
6,Kings XI Punjab,Mumbai Indians,male,2015,2015/05/03,Indian Premier League,35.0,Mumbai Indians,bat,LMP Simmons,Mumbai Indians,23.0,829775,runs,,,,,,V030
6,Kings XI Punjab,Sunrisers Hyderabad,male,2015,2015/04/27,Indian Premier League,27.0,Kings XI Punjab,field,TA Boult,Sunrisers Hyderabad,20.0,829759,runs,,,,,,V030
6,Royal Challengers Bangalore,Kings XI Punjab,male,2015,2015/05/06,Indian Premier League,40.0,Kings XI Punjab,field,CH Gayle,Royal Challengers Bangalore,138.0,829785,runs,,,,,,V029
6,Delhi Daredevils,Sunrisers Hyderabad,male,2015,2015/05/09,Indian Premier League,45.0,Sunrisers Hyderabad,bat,MC Henriques,Sunrisers Hyderabad,6.0,829793,runs,,,,,,V002
6,Delhi Daredevils,Mumbai Indians,male,2015,2015/04/23,Indian Premier League,21.0,Mumbai Indians,field,SS Iyer,Delhi Daredevils,37.0,829747,runs,,,,,,V031
6,Rajasthan Royals,Delhi Daredevils,male,2014,2014/05/15,Indian Premier League,41.0,Delhi Daredevils,field,AM Rahane,Rajasthan Royals,62.0,734011,runs,,,,,,V021
6,Chennai Super Kings,Rajasthan Royals,male,2014,2014/05/13,Indian Premier League,37.0,Rajasthan Royals,bat,RA Jadeja,Chennai Super Kings,5.0,734003,wickets,,,,,,V001
6,Rajasthan Royals,Kolkata Knight Riders,male,2014,2014/05/05,Indian Premier League,25.0,Kolkata Knight Riders,field,PV Tambe,Rajasthan Royals,10.0,733979,runs,,,,,,V021
