Name,Full Name,Birth Info,Batting Style,Bowling Style,Playing Position,identifier,key_cricinfo,Bowling Type,Bowling Arm
AA Bilakhia,Azharuddin Anjum Bilakhia,"May 31, 1986, Mohwa, Bhavnagar, Gujarat",Right hand Bat,Right arm Medium,,bff458c6,26946,Pace,Right
AA Chavan,Ankeet Anil Chavan,"October 28, 1985, Bombay (now Mumbai), Maharashtra",Left hand Bat,Slow Left arm Orthodox,Batter,29d72eb2,337913,Spin,Left
AA Jhunjhunwala,Abhishek Arunkumar Jhunjhunwala,"December 01, 1982, Calcutta (now Kolkata), Bengal",Right hand Bat,Right arm Offbreak,Batter,2815fe50,29702,Spin,Right
AA Kazi,Abrar Anjum Kazi,"September 29, 1989, Bangalore, Karnataka",Left hand Bat,Slow Left arm Orthodox,Bowler,16605a1b,422106,Spin,Left
AA Noffke,Ashley Allan Noffke,"April 30, 1977, Nambour, Queensland",Right hand Bat,Right arm Fast medium,Allrounder,b69e69ed,6938,Pace,Right
A Ashish Reddy,Ammana Ashish Reddy,"February 24, 1991, Secunderabad",Right hand Bat,Right arm Medium,Allrounder,1c2a64cd,389605,Pace,Right
A Badoni,Ayush Badoni,"December 03, 1999, Delhi",Right hand Bat,Right arm Offbreak,Batter,872b03f7,1151270,Spin,Right
AB Agarkar,Ajit Bhalchandra Agarkar,"December 04, 1977, Bombay (now Mumbai), Maharashtra",Right hand Bat,Right arm Fast,Bowler,fa463154,26184,Pace,Right
AB Barath,Adrian Boris Barath,"April 14, 1990, Chaguanas, Trinidad",Right hand Bat,Right arm Offbreak,Opening Batter,d3a3e82d,274926,Spin,Right
AB de Villiers,Abraham Benjamin de Villiers,"February 17, 1984, Pretoria",Right hand Bat,Right arm Medium,Wicketkeeper Batter,c4487b84,44936,Pace,Right
AB Dinda,Ashok Bhimchandra Dinda,"March 25, 1984, Medinipur, Calcutta (now Kolkata)",Right hand Bat,Right arm Medium fast,Bowler,66b30f71,227712,Pace,Right
Abdul Samad,Abdul Samad Farooq,"October 28, 2001, Kala Kot, Jammu &amp; Kashmir",Right hand Bat,Legbreak,Batter,8e514b4c,1175485,Spin,
Abdur Razzak,Abdur Razzak,"June 15, 1982, Khulna",Left hand Bat,Slow Left arm Orthodox,Bowler,888e32bf,56283,Spin,Left
Abhishek Sharma,Abhishek Sharma,"September 04, 2000, Amritsar, Punjab",Left hand Bat,Slow Left arm Orthodox,Allrounder,f29185a1,1070183,Spin,Left
AB McDonald,Andrew Barry McDonald,"June 05, 1981, Wodonga, Victoria",Right hand Bat,Right arm Fast medium,Allrounder,16043342,6553,Pace,Right
AC Blizzard,Aiden Craig Blizzard,"June 27, 1984, Shepparton, Victoria",Left hand Bat,Left arm Medium,Batter,1efb8a28,4498,Pace,Left
AC Gilchrist,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,2b6e6dec,5390,Spin,Right
A Chandila,Ajit  Chandila,"December 05, 1983, Faridabad, Haryana",Right hand Bat,Right arm Offbreak,Allrounder,99b202b3,27783,Spin,Right
