id,venue,city
V001,JSCA International Stadium Complex,Ranchi
V002,Shaheed Veer Narayan Singh International Stadium,Raipur
V003,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
V004,Barabati Stadium,Cuttack
V005,Himachal Pradesh Cricket Association Stadium,Dharamsala
V006,Sawai Mansingh Stadium,Jaipur
V007,Holkar Cricket Stadium,Indore
V008,Nehru Stadium,Kochi
V009,Vidarbha Cricket Association Stadium,Jamtha
V010,New Wanderers Stadium,Johannesburg
V011,St George's Park,Port Elizabeth
V012,Buffalo Park,East London
V013,Kingsmead,Durban
V014,Newlands,Cape Town
V015,SuperSport Park,Centurion
V016,Brabourne Stadium,Mumbai
V017,OUTsurance Oval,Bloemfontein
V018,De Beers Diamond Oval,Kimberley
V019,Wankhede Stadium,Mumbai
V020,Maharashtra Cricket Association Stadium,Pune
V021,Narendra Modi Stadium,Ahmedabad
V022,Dr DY Patil Sports Academy,Mumbai
V023,Eden Gardens,Kolkata
V024,Sharjah Cricket Stadium,Sharjah
V025,Dubai International Cricket Stadium,Dubai
V026,Zayed Cricket Stadium,Abu Dhabi
V027,Rajiv Gandhi International Stadium,Hyderabad
V028,MA Chidambaram Stadium,Chennai
V029,M Chinnaswamy Stadium,Bengaluru
V030,Punjab Cricket Association Stadium,Chandigarh
V031,Arun Jaitley Stadium,Delhi
V032,Green Park,Kanpur
V033,Saurashtra Cricket Association Stadium,Rajkot
